smORF_149	bear gut,sediment,pig gut,river associated,human skin,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,cattle associated,bird gut,wastewater,activated sludge,planarian associated,soil,bee gut,anthropogenic,fermented food,insect associated,rodent gut,deer gut,isolate,cat gut,human associated,bat gut,cattle gut,plant associated,goat gut,lake associated,crustacean associated,dog associated,pond associated,cattle rumen,air,water associated,human respiratory tract,bird skin,termite gut,beatle gut,human urogenital tract,human mouth,human saliva,rat gut,marine,coral associated,chicken gut,mock community,insect gut,groundwater
smORF_150	pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,bird gut,planarian associated,wastewater,soil,fermented food,bee gut,insect associated,deer gut,isolate,lake associated,human associated,cat gut,cattle gut,plant associated,air,water associated,human mouth,rat gut,marine,chicken gut,mock community,insect gut
smORF_151	bear gut,pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,activated sludge,planarian associated,wastewater,soil,bee gut,insect associated,deer gut,isolate,cat gut,human associated,bat gut,cattle gut,goat gut,plant associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,human mouth,rat gut,marine,chicken gut,mock community,insect gut
smORF_152	marine,human gut,isolate
smORF_153	cattle gut,mouse gut,human gut,rat gut,marine,isolate
smORF_154	marine,human gut,isolate
smORF_155	cattle gut,mouse gut,human gut,marine,anthropogenic,isolate
smORF_156	cattle gut,marine,human gut,isolate
smORF_157	pig gut,cattle gut,wastewater,mouse gut,human gut,primate gut,dog gut,isolate
smORF_158	cattle gut,marine,human gut,isolate
smORF_159	pig gut,cattle gut,mouse gut,human gut,marine,isolate
smORF_160	mouse gut,built environment,human gut,rat gut,marine,isolate
smORF_161	cattle gut,mouse gut,built environment,human gut,marine,isolate
smORF_162	wastewater,mouse gut,human gut,rat gut,marine,isolate
smORF_163	pig gut,mouse gut,human gut,primate gut,rat gut,marine,chicken gut,isolate
smORF_164	pig gut,human skin,mouse gut,built environment,human gut,primate gut,dog gut,wastewater,activated sludge,soil,cat gut,isolate,cattle gut,cattle rumen,air,water associated,human respiratory tract,human mouth,rat gut,marine,chicken gut
smORF_165	pig gut,cattle gut,wastewater,beatle gut,mouse gut,human mouth,built environment,human gut,primate gut,soil,rat gut,dog gut,marine,chicken gut,cattle rumen,isolate
smORF_166	pig gut,cattle gut,human skin,wastewater,mouse gut,built environment,human gut,primate gut,rat gut,marine,chicken gut,cattle rumen,isolate
smORF_167	pig gut,cattle gut,wastewater,mouse gut,human gut,rat gut,marine,chicken gut,isolate
smORF_168	pig gut,cattle gut,human skin,mouse gut,human gut,primate gut,rat gut,marine,cattle rumen,isolate
smORF_169	pig gut,cattle gut,bird gut,wastewater,mouse gut,built environment,human gut,primate gut,rat gut,marine,chicken gut,cattle rumen,isolate
smORF_170	marine,human gut,isolate
smORF_171	bear gut,pig gut,river associated,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,wastewater,activated sludge,soil,bee gut,insect associated,deer gut,cat gut,isolate,human associated,cattle gut,goat gut,plant associated,dog associated,cattle rumen,air,human urogenital tract,rat gut,marine,chicken gut,mock community,insect gut
