accession	bac_not_trans_count	bac_not_trans_all
COG1117	1	4292445
COG1329	1	4292445
COG2314	1	4292445
COG3316	1	4292445
COG0233	1	4292445
COG1051	1	4292445
COG0745	1	4292445
COG0802	1	4292445
COG5556	1	4292445
COG0652	1	4292445
COG4968	1	4292445
COG3506	1	4292445
COG4894	1	4292445
COG4747	1	4292445
COG2947	1	4292445
COG0048	1	4292445
COG0669	1	4292445
COG1438	1	4292445
COG3837	1	4292445
COG2197	1	4292445
COG1886	1	4292445
COG5455	1	4292445
COG1591	1	4292445
COG0066	1	4292445
COG3727	1	4292445
COG2087	1	4292445
COG0740	1	4292445
COG3826	1	4292445
COG3153	1	4292445
COG1435	1	4292445
COG4190	1	4292445
COG0259	1	4292445
COG0245	1	4292445
COG1310	1	4292445
COG0176	1	4292445
COG5123	1	4292445
COG1661	1	4292445
COG0691	1	4292445
COG2062	1	4292445
COG3335	1	4292445
