accession	arc_trans_count	arc_trans_all	arc_not_trans_count	arc_not_trans_all	arc_trans_proportion	arc_not_trans_proportion	arc_trans_fold_change
COG3041	0.0	11347.0	362.0	191500.0	0.0	0.0018903394255874674	0.0
COG1722	0.0	11347.0	351.0	191500.0	0.0	0.0018328981723237598	0.0
COG4830	0.0	11347.0	350.0	191500.0	0.0	0.0018276762402088772	0.0
COG4746	0.0	11347.0	344.0	191500.0	0.0	0.0017963446475195823	0.0
COG0186	0.0	11347.0	337.0	191500.0	0.0	0.0017597911227154046	0.0
COG3655	0.0	11347.0	328.0	191500.0	0.0	0.0017127937336814622	0.0
COG0140	0.0	11347.0	326.0	191500.0	0.0	0.0017023498694516972	0.0
COG1342	0.0	11347.0	323.0	191500.0	0.0	0.0016866840731070496	0.0
COG4892	0.0	11347.0	305.0	191500.0	0.0	0.0015926892950391645	0.0
COG2146	0.0	11347.0	297.0	191500.0	0.0	0.0015509138381201045	0.0
COG0694	0.0	11347.0	287.0	191500.0	0.0	0.0014986945169712794	0.0
COG4014	0.0	11347.0	285.0	191500.0	0.0	0.0014882506527415143	0.0
COG3388	0.0	11347.0	279.0	191500.0	0.0	0.0014569190600522194	0.0
COG2058	0.0	11347.0	274.0	191500.0	0.0	0.0014308093994778069	0.0
COG0633	0.0	11347.0	250.0	191500.0	0.0	0.0013054830287206266	0.0
COG0517	0.0	11347.0	246.0	191500.0	0.0	0.0012845953002610965	0.0
COG1393	0.0	11347.0	224.0	191500.0	0.0	0.0011697127937336815	0.0
COG4572	0.0	11347.0	215.0	191500.0	0.0	0.0011227154046997388	0.0
COG5559	0.0	11347.0	195.0	191500.0	0.0	0.0010182767624020888	0.0
COG4104	0.0	11347.0	193.0	191500.0	0.0	0.0010078328981723238	0.0
COG1359	0.0	11347.0	178.0	191500.0	0.0	0.0009295039164490861	0.0
COG2336	0.0	11347.0	174.0	191500.0	0.0	0.0009086161879895561	0.0
COG4004	0.0	11347.0	172.0	191500.0	0.0	0.0008981723237597911	0.0
COG1308	0.0	11347.0	158.0	191500.0	0.0	0.0008250652741514361	0.0
COG1460	0.0	11347.0	157.0	191500.0	0.0	0.0008198433420365535	0.0
COG4033	0.0	11347.0	156.0	191500.0	0.0	0.000814621409921671	0.0
COG5007	0.0	11347.0	152.0	191500.0	0.0	0.000793733681462141	0.0
COG2886	0.0	11347.0	152.0	191500.0	0.0	0.000793733681462141	0.0
COG2440	0.0	11347.0	147.0	191500.0	0.0	0.0007676240208877285	0.0
COG3809	0.0	11347.0	146.0	191500.0	0.0	0.000762402088772846	0.0
COG3905	0.0	11347.0	145.0	191500.0	0.0	0.0007571801566579635	0.0
COG0271	0.0	11347.0	144.0	191500.0	0.0	0.0007519582245430809	0.0
COG1937	0.0	11347.0	142.0	191500.0	0.0	0.0007415143603133159	0.0
COG2331	0.0	11347.0	141.0	191500.0	0.0	0.0007362924281984335	0.0
COG1925	0.0	11347.0	135.0	191500.0	0.0	0.0007049608355091384	0.0
COG3411	0.0	11347.0	130.0	191500.0	0.0	0.0006788511749347258	0.0
COG2118	0.0	11347.0	128.0	191500.0	0.0	0.0006684073107049609	0.0
COG0051	0.0	11347.0	128.0	191500.0	0.0	0.0006684073107049609	0.0
COG0198	0.0	11347.0	125.0	191500.0	0.0	0.0006527415143603133	0.0
COG0073	0.0	11347.0	116.0	191500.0	0.0	0.0006057441253263708	0.0
COG4802	0.0	11347.0	105.0	191500.0	0.0	0.0005483028720626632	0.0
COG0776	0.0	11347.0	104.0	191500.0	0.0	0.0005430809399477807	0.0
COG1324	0.0	11347.0	102.0	191500.0	0.0	0.0005326370757180157	0.0
COG4710	0.0	11347.0	99.0	191500.0	0.0	0.0005169712793733682	0.0
COG2168	0.0	11347.0	99.0	191500.0	0.0	0.0005169712793733682	0.0
COG3237	0.0	11347.0	94.0	191500.0	0.0	0.0004908616187989556	0.0
COG0347	0.0	11347.0	85.0	191500.0	0.0	0.00044386422976501304	0.0
COG4281	0.0	11347.0	85.0	191500.0	0.0	0.00044386422976501304	0.0
COG4634	0.0	11347.0	84.0	191500.0	0.0	0.00043864229765013056	0.0
COG5552	0.0	11347.0	82.0	191500.0	0.0	0.00042819843342036554	0.0
COG2771	0.0	11347.0	82.0	191500.0	0.0	0.00042819843342036554	0.0
COG2329	0.0	11347.0	81.0	191500.0	0.0	0.000422976501305483	0.0
COG0184	0.0	11347.0	77.0	191500.0	0.0	0.000402088772845953	0.0
COG2161	0.0	11347.0	76.0	191500.0	0.0	0.0003968668407310705	0.0
COG0831	0.0	11347.0	76.0	191500.0	0.0	0.0003968668407310705	0.0
COG1366	0.0	11347.0	74.0	191500.0	0.0	0.00038642297650130547	0.0
COG4901	0.0	11347.0	73.0	191500.0	0.0	0.000381201044386423	0.0
COG2350	0.0	11347.0	68.0	191500.0	0.0	0.0003550913838120104	0.0
COG2906	0.0	11347.0	68.0	191500.0	0.0	0.0003550913838120104	0.0
COG1837	0.0	11347.0	66.0	191500.0	0.0	0.00034464751958224546	0.0
