accession	arc_trans_count	arc_trans_all	bac_trans_count	bac_trans_all	arc_trans_proportion	bac_trans_proportion	fold change
COG5548	0.0	11347	241.0	455582	0.0	0.0005289936828057298	0.0
COG3759	0.0	11347	239.0	455582	0.0	0.0005246036937368026	0.0
COG4238	0.0	11347	226.0	455582	0.0	0.0004960687647887757	0.0
COG5416	0.0	11347	220.0	455582	0.0	0.00048289879758199404	0.0
COG0011	0.0	11347	219.0	455582	0.0	0.0004807038030475304	0.0
COG5457	0.0	11347	211.0	455582	0.0	0.00046314384677182156	0.0
COG1724	0.0	11347	202.0	455582	0.0	0.0004433888959616491	0.0
COG3695	0.0	11347	187.0	455582	0.0	0.0004104639779446949	0.0
COG3125	0.0	11347	178.0	455582	0.0	0.00039070902713452243	0.0
COG1550	0.0	11347	162.0	455582	0.0	0.0003555891145831047	0.0
COG3767	0.0	11347	158.0	455582	0.0	0.00034680913644525023	0.0
COG3077	0.0	11347	157.0	455582	0.0	0.00034461414191078665	0.0
COG2154	0.0	11347	154.0	455582	0.0	0.00033802915830739584	0.0
COG0236	0.0	11347	150.0	455582	0.0	0.0003292491801695414	0.0
COG3474	0.0	11347	149.0	455582	0.0	0.00032705418563507775	0.0
COG4576	0.0	11347	148.0	455582	0.0	0.00032485919110061416	0.0
COG3411	0.0	11347	146.0	455582	0.0	0.00032046920203168694	0.0
COG3093	0.0	11347	143.0	455582	0.0	0.0003138842184282961	0.0
COG3113	0.0	11347	143.0	455582	0.0	0.0003138842184282961	0.0
COG5470	0.0	11347	140.0	455582	0.0	0.00030729923482490526	0.0
COG3584	0.0	11347	130.0	455582	0.0	0.0002853492894802692	0.0
COG4897	0.0	11347	130.0	455582	0.0	0.0002853492894802692	0.0
COG0230	0.0	11347	130.0	455582	0.0	0.0002853492894802692	0.0
COG3549	0.0	11347	129.0	455582	0.0	0.0002831542949458056	0.0
COG3423	0.0	11347	125.0	455582	0.0	0.00027437431680795116	0.0
COG4453	0.0	11347	123.0	455582	0.0	0.00026998432773902393	0.0
COG2146	0.0	11347	119.0	455582	0.0	0.0002612043496011695	0.0
COG0211	0.0	11347	117.0	455582	0.0	0.00025681436053224226	0.0
COG2052	0.0	11347	113.0	455582	0.0	0.00024803438239438786	0.0
COG0271	0.0	11347	107.0	455582	0.0	0.00023486441518760618	0.0
COG1188	0.0	11347	107.0	455582	0.0	0.00023486441518760618	0.0
COG1841	0.0	11347	97.0	455582	0.0	0.0002129144698429701	0.0
COG1145	0.0	11347	86.0	455582	0.0	0.00018876952996387038	0.0
COG3856	0.0	11347	85.0	455582	0.0	0.0001865745354294068	0.0
COG1359	0.0	11347	83.0	455582	0.0	0.00018218454636047957	0.0
COG2963	0.0	11347	80.0	455582	0.0	0.00017559956275708873	0.0
COG1677	0.0	11347	77.0	455582	0.0	0.00016901457915369792	0.0
COG2088	0.0	11347	73.0	455582	0.0	0.00016023460101584347	0.0
COG3952	0.0	11347	71.0	455582	0.0	0.00015584461194691624	0.0
COG1366	0.0	11347	68.0	455582	0.0	0.00014925962834352543	0.0
COG3041	0.0	11347	68.0	455582	0.0	0.00014925962834352543	0.0
COG4391	0.0	11347	67.0	455582	0.0	0.00014706463380906182	0.0
COG0257	0.0	11347	65.0	455582	0.0	0.0001426746447401346	0.0
COG0361	0.0	11347	64.0	455582	0.0	0.00014047965020567098	0.0
COG2960	0.0	11347	62.0	455582	0.0	0.00013608966113674376	0.0
COG4118	0.0	11347	60.0	455582	0.0	0.00013169967206781656	0.0
COG1950	0.0	11347	60.0	455582	0.0	0.00013169967206781656	0.0
COG0633	0.0	11347	59.0	455582	0.0	0.00012950467753335295	0.0
