Tool,Length,identity,e-value,Sensitivity,Rescue,Identity
MMseqs,30,1,0.0001,5.7,9876,0.1
MMseqs,30,0.9,0.0001,5.7,9736,0.2
MMseqs,30,0.8,0.0001,5.7,8279,0.3
MMseqs,30,0.7,0.0001,5.7,2028,0.4
MMseqs,30,0.6,0.0001,5.7,36,0.5
MMseqs,30,0.5,0.0001,5.7,0,0.6
MMseqs,30,0.4,0.0001,5.7,0,0.7
MMseqs,30,0.3,0.0001,5.7,0,0.8
MMseqs,30,0.2,0.0001,5.7,0,0.9
MMseqs,30,0.1,0.0001,5.7,0,1
Diamond,20,1,0.0001,sensitive,6406,0.1
Diamond,20,0.9,0.0001,sensitive,1481,0.2
Diamond,20,0.8,0.0001,sensitive,57,0.3
Diamond,20,0.7,0.0001,sensitive,0,0.4
Diamond,20,0.6,0.0001,sensitive,0,0.5
Diamond,20,0.5,0.0001,sensitive,0,0.6
Diamond,20,0.4,0.0001,sensitive,0,0.7
Diamond,20,0.3,0.0001,sensitive,0,0.8
Diamond,20,0.2,0.0001,sensitive,0,0.9
Diamond,20,0.1,0.0001,sensitive,0,1
MMseqs,20,1,0.0001,5.7,3302,0.1
MMseqs,20,0.9,0.0001,5.7,240,0.2
MMseqs,20,0.8,0.0001,5.7,5,0.3
MMseqs,20,0.7,0.0001,5.7,0,0.4
MMseqs,20,0.6,0.0001,5.7,0,0.5
MMseqs,20,0.5,0.0001,5.7,0,0.6
MMseqs,20,0.4,0.0001,5.7,0,0.7
MMseqs,20,0.3,0.0001,5.7,0,0.8
MMseqs,20,0.2,0.0001,5.7,0,0.9
